#dgemm,nstream,random,reduce,sparse,stencil,global,p2p,transpose
1  0.080902 0.004534 0.046794 0.003581 0.081279 0.005922 0.000182 0.000452 0.026724
2  0.03797 0.002452 0.028836 0.010416 0.04021 0.003028 0.000289 0.000256 0.023087
4  0.036072 0.000836 0.027629 0.018533 0.030615 0.00157 0.000348 0.000194 0.012086
8  0.02415 0.000428 0.028467 0.02106 0.016835 0.000902 0.000492 0.000165 0.00639
16  0.007199 0.000273 0.031224 0.036465 0.022677 0.000696 0.0006 0.00015 0.003547
