#dgemm,nstream,random,reduce,sparse,stencil,global,p2p,transpose
1  0.098875 0.004001 0.052012 0.003798 0.068876 0.005907 0.000181 0.000453 0.019188
2  0.038749 0.002431 0.027545 0.0102 0.040992 0.003044 0.000253 0.000297 0.025116
4  0.021405 0.000783 0.02633 0.018666 0.021299 0.001564 0.000353 0.000185 0.018972
8  0.013644 0.000485 0.029082 0.02115 0.020653 0.000873 0.000581 0.000217 0.00808
16  0.007342 0.000284 0.028848 0.037019 0.022112 0.000699 0.000673 0.000161 0.003803
